name,category,city,verified_source,notes
Jimmie Rodgers Foundation & Museum (The),arts,Meridian,https://www.jimmierodgers.com,Music heritage museum; EIN 64-0656694
L.O.V.E.'s Kitchen (Lauderdale Outreach and Volunteer Effort),food,Meridian,existing directory; https://projects.propublica.org/nonprofits/organizations/640670858,Soup kitchen and pantry; IRS legal name Love Inc
Lauderdale Baptist Association - Helping Hands Food Pantry & Crisis Center,faith-based-service,Marion,https://lbams.org,Faith-based food pantry and crisis aid
Lauderdale County Council on Aging,other,Meridian,https://projects.propublica.org/nonprofits/organizations/640596478,Senior services
Lauderdale County Department of Archives & History,arts,Meridian,https://projects.propublica.org/nonprofits/organizations/640703130,Local history and archives
Lauderdale County Foundation for Excellence in Education,youth,Meridian,https://projects.propublica.org/nonprofits/organizations/881498388,Supports county public schools
Lauderdale County Search & Rescue,other,Meridian,https://projects.propublica.org/nonprofits/organizations/800682386,Volunteer search and rescue
MAX (The) - Mississippi Arts + Entertainment Experience,arts,Meridian,https://www.msarts.org,Museum honoring MS arts legends; EIN 35-2193471
Mental Health Association in Lauderdale County,health,Meridian,https://projects.propublica.org/nonprofits/organizations/640442550,Mental health support
Meridian Architectural Trust,arts,Meridian,https://projects.propublica.org/nonprofits/organizations/920242673,Historic preservation
Meridian Art Association,arts,Meridian,https://projects.propublica.org/nonprofits/organizations/646036338,Area artists association
Meridian Community College Foundation,other,Meridian,https://projects.propublica.org/nonprofits/organizations/237086275,Scholarships / MCC support
Meridian Council for the Arts,arts,Meridian,https://www.meridianartscouncil.org,Local arts agency
Meridian Freedom Project,youth,Meridian,https://projects.propublica.org/nonprofits/organizations/882193613,Youth education and enrichment
Meridian Junior Auxiliary,youth,Meridian,https://projects.propublica.org/nonprofits/organizations/640431584,Children-focused service projects
Meridian Little Theatre,arts,Meridian,http://www.meridianlittletheatre.com,Community theatre; EIN 64-0511323
Meridian Main Street,other,Meridian,https://projects.propublica.org/nonprofits/organizations/261706462,Downtown revitalization (with 501c3 Meridian Main Street Foundation EIN 46-2710822)
Meridian Museum of Art,arts,Meridian,https://www.meridianmuseum.org,Longest-running Meridian museum
Meridian Railroad Museum (Meridian Rails Historical Society),arts,Meridian,https://www.meridianrails.org,Rail heritage museum; EIN 85-4093462
Meridian Speech and Hearing Center,health,Meridian,https://projects.propublica.org/nonprofits/organizations/640529831,Speech/hearing services
Meridian Swimming Association,youth,Meridian,https://projects.propublica.org/nonprofits/organizations/640432260,Youth swim program
Meridian Symphony Association,arts,Meridian,https://www.meridianso.org,Orchestra; EIN 64-6025769
Meridian Youth Soccer Association,youth,Meridian,https://projects.propublica.org/nonprofits/organizations/640747190,Youth soccer league
Meridians Art Hub,arts,Meridian,https://projects.propublica.org/nonprofits/organizations/934498772,Community arts hub (newer org)
Merrehope (Meridian Restorations Foundation),arts,Meridian,https://merrehope.com,Historic house preservation; EIN 64-6036970
Mississippi Children's Museum - Meridian,youth,Meridian,https://mschildrensmuseum.org/meridian/,Statewide org (HQ Jackson) with Meridian campus
Mississippi Industrial Heritage Museum (Soule Steam Feed Works),arts,Meridian,https://www.industrialheritagemuseum.com,Industrial history museum; EIN 04-3725572
Mothers of Murdered Children - Meridian Chapter,other,Meridian,https://projects.propublica.org/nonprofits/organizations/872606825,Grief support and advocacy
Multi-County Community Service Agency,food,Meridian,https://www.multicountycsa.org,Community action agency; food/rent/utility assistance; EIN 64-0440512
Phil Hardin Foundation,other,Meridian,https://projects.propublica.org/nonprofits/organizations/646024940,Education philanthropy based in Meridian
Pine Lake Fellowship Camp,faith-based-service,Meridian,https://www.pinelakecamp.com,Faith-based youth camp/retreat
Residence of Hope,housing,Meridian,https://projects.propublica.org/nonprofits/organizations/832114276,Recovery residence
Riley Foundation (The),other,Meridian,http://www.rileyfoundation.org,Community grants philanthropy
Soldiers Freedom Outdoors,other,Meridian,https://soldiersfreedomoutdoors.org,Veterans outdoor recreation and healing
SPOT (The) - Special Place for Others to Thrive,youth,Meridian,https://www.thespotfamily.com,Youth / disabilities community center; EIN 41-3623365
State Games of Mississippi,other,Meridian,https://projects.propublica.org/nonprofits/organizations/640811475,Statewide amateur sports festival HQ'd in Meridian
Thrive Meridian,other,Meridian,https://projects.propublica.org/nonprofits/organizations/413964481,Human services
Tomorrows Fathers,youth,Meridian,https://projects.propublica.org/nonprofits/organizations/814819743,Youth/father mentoring
United Way of East Mississippi,other,Meridian,existing directory (uwem.org),Local United Way chapter; EIN 64-0387703
Warm Hearts of Meridian,other,Meridian,https://projects.propublica.org/nonprofits/organizations/472431517,Homeless outreach (IRS NTEE P85)
Wesley House Community Center,other,Meridian,https://wesleyhousemeridian.org,"Human services: food pantry, child advocacy, crisis services; EIN 64-0308403"
Youth Excitement Team,youth,Meridian,https://projects.propublica.org/nonprofits/organizations/640885540,Youth development
